MakeID,MakeName,ModelID,ModelName,BodyID,BodyType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Chevrolet,471,S-10/T-10 Pickup,30,Compact pickup,263,243,224,218,180,193,156,158,160,130,127
20,Chevrolet,28,Sonic,4,"4-door sedan, hardtop",0,0,5,12,13,31,40,48,60,42,51
20,Chevrolet,29,Spark,5,5-door/4-door hatchback,0,0,0,3,9,13,16,27,27,30,29
20,Chevrolet,31,Spectrum,2,"2-door sedan,hardtop,coupe",1,1,0,0,0,0,0,0,0,0,0
20,Chevrolet,33,Sprint/Geo Sprint,3,3-door/2-door hatchback,1,3,2,0,0,2,0,1,1,0,1
20,Chevrolet,21,SS (For 2014 on.  For Impala/Caprice SS use model 20-002.),4,"4-door sedan, hardtop",0,0,0,0,0,4,3,1,4,0,3
20,Chevrolet,38,SSR,10,Auto-based pickup,1,1,1,1,0,2,1,1,1,0,1
20,Chevrolet,431,Suburban (from 1950-2003;see 422 for 2004 on),16,Utility station wagon,119,123,124,109,94,94,103,92,93,77,94
20,Chevrolet,422,Suburban (from 2004 on; see 431 for 1950-2003),15,Large utility,33,20,33,34,42,31,39,39,55,37,66
20,Chevrolet,403,"TrailBlazer (2003 on; for 2002 model, see 401)",14,Compact utility,129,123,129,138,146,135,109,174,156,165,131
20,Chevrolet,24,Traverse (2009-2012 only.  For 2013 on see model 423.),6,Station Wagon,6,5,3,5,10,16,15,30,15,15,22
20,Chevrolet,423,Traverse (2013 on.  For 2009-2012 see model 024.),15,Large utility,0,0,0,0,9,7,10,19,14,28,22
20,Chevrolet,406,Trax,14,Compact utility,0,0,0,0,0,3,5,13,12,24,31
20,Chevrolet,399,Unknown (automobile),1,Convertible,3,9,5,2,0,9,5,2,3,1,1
20,Chevrolet,989,Unknown (bus),50,School Bus,0,0,0,0,1,0,0,0,0,0,0
20,Chevrolet,999,Unknown (CHEVROLET),49,Unknown light vehicle type,3,1,3,6,3,4,1,2,4,2,0
20,Chevrolet,499,Unknown (light truck),14,Compact utility,1,6,5,4,6,20,12,3,4,3,3
20,Chevrolet,444,Uplander,20,Minivan,19,16,15,19,23,24,25,26,15,23,16
20,Chevrolet,470,Van derivative,22,Step-van or walk-in van,1,1,1,1,1,11,5,0,1,1,0
20,Chevrolet,11,Vega,2,"2-door sedan,hardtop,coupe",0,0,0,0,0,0,1,0,0,0,0
